model_family,model_name,split,MAE,RMSE,R2
baseline,median_by_zip_year,val,147367.0525252525,276213.73591794726,0.19397051529669607
baseline,median_by_zip_year,test,257775.0,296286.74877557385,-2.326402131931169
ridge,ridge,val,124308.49255050505,196413.6046161048,0.5924287731441285
ridge,ridge,test,201059.39453125,266277.7571632751,-1.6867055601120167
xgb,xgb,val,119027.08828914141,180869.5828424639,0.6543858947632599
xgb,xgb,test,156373.8671875,176759.22923164765,-0.18389855862664728
