model_family,model_name,split,MAE,RMSE,R2
baseline,median_by_zip_year,val,203927.33672074796,449075.7878063618,0.3686049858615751
baseline,median_by_zip_year,test,145896.55611222444,279283.50731007254,0.17684487008946226
ridge,ridge,val,204110.5263254309,1928055.2763347002,-10.638602312259327
ridge,ridge,test,120144.23744363728,191177.48020764193,0.6142867342562046
xgb,xgb,val,171879.69156298955,363835.00859481376,0.5855512469832049
xgb,xgb,test,115261.16774173347,184728.34236567377,0.63987093309309
